dim;algorithm;update;query;radius;ratio;memory
5;CHEN;12884.93;71630577534;14.2812534;1;20000
10;CHEN;12561.13;71021512301;17.03229348;1;20000
15;CHEN;7781.485;84643935082;19.02631268;1;20000
20;CHEN;9387.565;71531537526;21.28006928;1;20000
25;CHEN;9134.38;74443954194;22.08578023;1;20000
30;CHEN;11048.925;73563982131;23.37178023;1;20000
35;CHEN;11413.165;74345227311;24.86477979;1;20000
40;CHEN;10557.92;77462656113;25.97733079;1;20000
45;CHEN;10188.145;79831914818;28.3742836;1;20000
50;CHEN;12915.15;83396149644;27.81999918;1;20000
5;PELLCAPP;5693667.615;67622939535;14.2812534;1;122241.09
10;PELLCAPP;7460961;68232707252;17.03229348;1;146835
15;PELLCAPP;9620260.545;69869287155;19.02631268;1;127687.395
20;PELLCAPP;7261762.325;69958658925;21.28006928;1;126651.68
25;PELLCAPP;7598261.07;70702863055;22.08578023;1;128189.66
30;PELLCAPP;7713443.965;71778598919;23.37178023;1;134568.705
35;PELLCAPP;8113362.16;73147967939;24.86477979;1;141610.915
40;PELLCAPP;9500455.41;75566601801;25.97733079;1;144426.765
45;PELLCAPP;11046471.79;76261550650;28.3742836;1;147416.53
50;PELLCAPP;12582515.32;80292031474;27.81999918;1;151505.36
5;PELLCAPPDELTA05;921715.5;65066576279;12.89928743;0.905023815;32715.4
10;PELLCAPPDELTA05;2996706.825;68176377960;17.05073741;1.001125955;62273.155
15;PELLCAPPDELTA05;2169362.38;69228274600;17.63114768;0.929017973;38429.145
20;PELLCAPPDELTA05;2806059.36;70290620241;19.133014;0.901082098;41717.85
25;PELLCAPPDELTA05;3075898.31;70699560304;22.09079219;1.000270604;43095.11
30;PELLCAPPDELTA05;3191044.07;71732552943;23.37178023;1;42597.3
35;PELLCAPPDELTA05;3340239.24;73000364695;24.86477979;1;43607.16
40;PELLCAPPDELTA05;4035850.695;75351048383;25.97733079;1;45258.64
45;PELLCAPPDELTA05;4919719.01;76065321532;28.3742836;1;49023.695
50;PELLCAPPDELTA05;5338628.435;80165249767;27.81999918;1;54923.89
5;PELLCAPPDELTA10;243309.12;30351300663;13.93206495;0.978109671;16347.585
10;PELLCAPPDELTA10;1317213.04;67881213729;15.71866772;0.923855264;30685.225
15;PELLCAPPDELTA10;807922.955;921695514.2;18.86423656;0.994312783;12727.86
20;PELLCAPPDELTA10;429011.285;7734865072;21.15009825;0.995647148;12192.565
25;PELLCAPPDELTA10;378449.16;49900233010;22.08541076;1.000572904;20984.21
30;PELLCAPPDELTA10;572826.71;65376857408;22.97370387;0.98352277;23628.77
35;PELLCAPPDELTA10;1107102.825;70718314095;23.38033803;0.940884431;26731.715
40;PELLCAPPDELTA10;2128351.99;74273998903;25.54368795;0.983361675;31437.405
45;PELLCAPPDELTA10;3923262.975;76651194521;26.78523042;0.945741456;36632.63
50;PELLCAPPDELTA10;5001665.32;79786806423;27.41958152;0.985994447;39864.52
5;PELLCAPPDELTA15;124019.155;3784290505;14.41550782;1.01191101;6833.11
10;PELLCAPPDELTA15;398733.47;59627586794;16.02656101;0.94210944;22476.11
15;PELLCAPPDELTA15;346982.095;35313548.54;19.49548881;1.027649489;8008.555
20;PELLCAPPDELTA15;318351.335;47069651.99;21.49506315;1.01235674;4923.64
25;PELLCAPPDELTA15;197909.68;58422564.94;22.50407098;1.019700846;3272.075
30;PELLCAPPDELTA15;112143.925;128872971.6;23.70304833;1.014557294;2596.3
35;PELLCAPPDELTA15;118144.2;548389327.3;24.62911705;0.991315352;3604.16
40;PELLCAPPDELTA15;134384.385;1990735900;26.4862413;1.02051721;5255.64
45;PELLCAPPDELTA15;222267.4;8765778342;27.37578893;0.966659079;9020.695
50;PELLCAPPDELTA15;320175.435;30023959144;27.58400738;0.992402405;14920.89
5;PELLCAPPDELTA20;83737.275;460334559.2;14.72730448;1.033869232;3212.57
10;PELLCAPPDELTA20;168305.535;11906362984;16.56929852;0.973719845;10738.195
15;PELLCAPPDELTA20;135043.56;35294606.31;19.49548881;1.027649489;6575.795
20;PELLCAPPDELTA20;197055.17;37686570.08;21.49506315;1.01235674;4128.225
25;PELLCAPPDELTA20;138554.91;41191643.24;22.49829665;1.019456444;2833.625
30;PELLCAPPDELTA20;81416.63;43947970.08;23.34832659;0.999405474;1812.575
35;PELLCAPPDELTA20;78794.26;45066675.35;23.89228159;0.961569057;1855.58
40;PELLCAPPDELTA20;82048.16;54547823.33;27.18228091;1.047641074;1908.4
45;PELLCAPPDELTA20;92032.275;53255818.88;26.57335164;0.938519444;1941.09
50;PELLCAPPDELTA20;99255.445;62416826.07;27.18798151;0.978174101;2104.925
